,tweet,class
1805,"b'You CANNOT teach people to be intelligent - we must start breaking students into groups of low , moderate and high intellectual ability and teach each group suitable material .'",noHate
1806,"b""I guess it is the `` Automaidan '' .""",noHate
1807,b'Those poor kikes they cant even escape antisemetism in the country were it is punishable by death ( I am talking about palestinians )',hate
1808,"b""Thanks I' am 31 y old , and it 's too old for a military career in france. i was soldier in a fighting unity during two years ( sapper ) .""",noHate
1809,b'Could be the greater emphasis on functionality is shared between the styles of architecture .',noHate
1810,b'Make sure you have a security team for Justin Barrett whenever he speaks in public in case the unwashed scum try anything again .',noHate
1811,b'Angry Aryans is probably my fav band .',noHate
1812,"b'I would never join a Christian group , or a group that would allow Christians to join .'",noHate
1813,"b'Pontius Pilate washed his hands , announced that he found nothing wrong and left it up to the Jews. )'",noHate
1814,b'There are so many race mixing ads on TV that it gets overwhelming .',hate
1815,b'Every ethnic Ukrainian I have ever met was White .',noHate
1816,b'We do import more food than we export .',noHate
1817,b'Thanks .',noHate
1818,b'This is my next read .',noHate
1819,"b'Two employees and one customer told police two men , brandishing a long-barrel rifle , stole the cash drawer with an undisclosed amount of money and fled on foot .'",noHate
1820,b'Sad but true .',noHate
1821,b'I went to trade school when I turned 18 for welding .',noHate
1822,b'No is not bad and you should never lower your self to their level of self denial and blindness .',noHate
1823,b'I will grin and bear it and keep on getting respectable grades .',noHate
1824,b'Then how come the only ones they arrested in connection with those attacks were active FSB agents ?',noHate
1825,"b'The outline for the events for the boys , and their fathers , was interesting .'",noHate
1826,b'I am sorry but it is the truth .',noHate
1827,b'Glad to see that there are so many of us here in Wisconsin .',noHate
1828,b'So happy you remind me this I have a little altar portraying a bronze buste of Beethoven on my bedside table along with one of Wagner ( he was Beethovenian fan too )',noHate
1829,"b'Liberals go on about diversity and how we all need it , but they have no problem with two completely different types of people blending together and being the same .'",noHate
1830,b'There is an active community here - you just need to get off the net to find it .',noHate
1831,b'I go through this thread once a week to check the links .',noHate
1832,b'2508',noHate
1833,"b'Like its cousin in astrophysical waters the Crab Nebula supernova remnant , the Jellyfish Nebula is known to harbor a neutron star , the remnant of the collapsed stellar core .'",noHate
1834,b'Such a shame that a beautiful city with such a superb setting is being ruined !',noHate
1835,b'Why would the press be covering this .',noHate
1836,"b'I must say , the younger guy sure keeps this gal young and fit .'",noHate
1837,b'I have no idea .',noHate
1838,"b""(Warning: do not watch on a full stomach ) I 'm Jewish And You Know It - Official Parody to Sexy and I know it - YouTube""",noHate
1839,"b""Just downloaded the 21 May `` edition '' Great as always Huge thanks !""",noHate
1840,b'The picture in my sig is a Mennonite farm in Creston .. just a couple miles from where I am typing this .',noHate
1841,b'Im sorry that many people in my country are stupid .',noHate
1842,b'Police investigating hate crime at Toronto home | CTV Toronto News',noHate
1843,"b""I 'm all alone and looking for companionship , where 'd all the good girls go ? send me a pm or email at skin14 _ 88@hotmail.com""",noHate
1844,"b""I have n't , because I threw out my TV in the mid-1990s when there were to many blacks on TV .""",hate
1845,"b'Come on guys , help her show her kids the right way .'",noHate
1846,b'Sad thing is white nationalists DO judge Negroes by the content of the character .',noHate
1847,b'The only thing Negroes have is wishful want .',hate
1848,"b'http://forum.skadi.net/favorite _ slav ... ight = armenians Last Seen : 1 Week Ago Join Date : Feb 2005 Tribe : Russian Subrace : Turanid Location : Saint-Petersburg Gender : Male Politics : Lappoid collectivist Religion : non-religious Banner : Golden Eagle Posts : 2,401 Reputation : 1366 Reputation Power : 2'",noHate
1849,b'- Jim',noHate
1850,"b'I was at a gas station last week , A guy came up to me too fast and too close and I almost went for my knife but at the last second I could see he meant no harm , then he asked for directions .'",noHate
1851,b'It failed due to lack of funding .',noHate
1852,"b""I'm in the pittsburgh area myself .""",noHate
1853,"b""You Anglo-Americans are all welcome to England if you can perform the ' small ' task of riding London of it 's ethnics !""",hate
1854,"b""London is a dead zone as far as anyone White is concerned , even Hertfordshire where it 's closest to London is turning brown .""",hate
1855,"b""It 's not very Irish to talk behind backs , Ted .""",noHate
1856,"b'It has been claimed that the black African invented the stick , but that is a lie .'",noHate
1857,b'Have you looked at a fashion magazine lately ??',noHate
1858,"b'Sincerely , Cummins88'",noHate
1859,"b""They have a St. Patrick ' Day free book here .""",noHate
1860,"b'Cool shirt ; now , go back to Africa and be a good Black Askari African Nazi Party Member .'",noHate
1861,b'Yes I have seen African Blacks driving those type of cars too .',noHate
1862,b'they choose isolated houses away from the locals and come and go in cars at night.They don`t invite the neighbours around for a knees up ....',noHate
1863,b'It was not hard either .',noHate
1864,b'Our family members are often the hardest people for us to reach but the most worth it when we do .',noHate
1865,b'Is that a hate crime what I just said ?',noHate
1866,"b""Not to mention that they do n't belong here anyway .""",hate
1867,"b'Not that it matters much cause you will still be pushed up against those wonderful minorities everywhere you go , and our children will go to schools where they are in the majority .'",noHate
1868,"b""Conservative whites really are no better than liberal whites when it comes to race , that 's why things have gotten so bad in the western world .""",noHate
1869,"b'I was just trying to see how many of you saw other races as a bigger thread than your own , and apparently , a few think this way .'",noHate
1870,"b""We know , but Trump 's kids are all married to or dating Jews and he 's expressed his full support of thelgbt community and gay marriage even if he is not out waving the fag rag in fag pride parades .""",noHate
1871,"b'There are people that would agree with this essay , and then turn around and support gay marriage or abortion not realizing that they too are foot soldiers supporting the Cultural Marxism that is destroying our identity .'",noHate
1872,b'Do they say they dont care ?',noHate
1873,b'I think East Indians may be considered white too because on the census Asian means Oriental as Asia is a HUGE continent .',noHate
1874,b'Ive got nothing against it but i prefer one .',noHate
1875,"b'I have light brown hair and light brown eyes , like my father .'",noHate
1876,b'I think I read a comment like that on a video on YouTube and it made me chuckle .',noHate
1877,b'Riot Survival Kit Day 1 Leave 1 ) American Express Platinum card .',noHate
1878,"b'Worker: Thank you , I took a note of all that information and will use it to the best of my ability .'",noHate
1879,b'Hello Everyone on Stormfront Have heard a lot of good things about this forum so I have decided to take the plunge .',noHate
1880,b'You are the loyal punk to dead men that would underbid your labor with slaves of the negro race .',hate
1881,"b'Andre Gide French critic , essayist , & novelist ( 1869 - 1951 )'",noHate
1882,b'Getting someone else to do our dirty work got us into the mess we are in today .',noHate
1883,b'I already tell my friends here all about you ...',noHate
1884,"b""I was looking at it the other day and I realized that most kids that probably get this go through and get to check every single club on the back ... I have n't been in one club or group in school .""",noHate
1885,b'My goto link is toast and I am allergic to PPV .',noHate
1886,b'I have always thought whites and negroes are as different as lions and tigers .',noHate
1887,b'I do care about arab christians You are not the only one who is feeling lost i know it sucks to be a non muslim in the middle east. would you like to move to east asia with me ?',noHate
1888,"b'Take everything with a grain of salt for the wolves come in sheep clothing , your heart will know what is right .'",noHate
1889,b'You think outside the sheep box in this movement then the usual suspects will hound you down untill you get back in line sad but true',noHate
1890,"b'Hi: I want to share these wonderful videos , very beautiful teachers and great new methods for everybody can easily learn .'",noHate
1891,b'Ah for the old days .',noHate
1892,b'This is pretty much perversion indoctrination to kindergardeners .',noHate
1893,b'AND VITAL .',noHate
1894,b'http://www.youtube.com/watch?feature...&v=WkLHXKHb1VcManufacturingmemorieshttps://www.youtube.com/watch ? v = XcywPdORySA Memory expert Elizabeth Loftus shows Lesley Stahl how memories can be manipulated .',noHate
1895,"b""From there , just click on `` pictures '' and wait for them to load .""",noHate
1896,"b""I had it restrung a couple years ago but have n't taken it out since .""",noHate
1897,b'It is just starting to happen in Riga .',noHate
1898,"b'Of course the county is lovely , in facts its gods country in our book BUT the cities are rat infested with enrichers , just how the country is isnt it .'",noHate
1899,"b""Well yes that s the thing there is a difference between being publically a White Nationalist and being a nut or some ' stereotypical skinhead ' .""",noHate
1900,"b'Yes, Philidelphia has been over run with black savages , left and right .'",noHate
1901,"b'This time , the charges are assault and battery of a high and aggravated nature and strong armed robbery in connection with the assault on Rose Powell. ( more ... )'",noHate
1902,b'Monday afternoon .',noHate
1903,b'Sometimes pictures are worth a thousand words .',noHate
1904,b'More black-on-white hate crime videos are posted here : http://ethniccrime.blogspot.com/p/ra...-on-video.html',noHate
1905,b'McCourt the brother of that lier who wrote that book full of lies is running on a gay anti war platform in New York.From a video of his speech the Limerick blogger has it on youtube .',noHate
1906,"b""Mass white immigration is Ireland 's current scourge and should be slashed by 95-97 % ..""",hate
1907,b'Live off the island .',noHate
1908,"b'Unfortunately , intelligent outliers of races generally not gifted with a high average intelligence can be very deadly .'",noHate
1909,"b""It's hard being White in California .""",noHate
1910,"b""Some day 's .""",noHate
1911,b'Also after sticking them on you can coat them in a flour/water mixture like they use for large posters and it dries see through and is damn near impossible to remove later .',noHate
1912,b'I am looking for WN specific Home School material ?',noHate
1913,"b'All Slavic people had same pre-Christian Gods , Svarog , Svetovid , Perun , etc. etc. but old Bulgarian pantheon is totally different .'",noHate
1914,"b""Especially I think it 's bad when they bring their children with them to the West , cause in many cases they grow up brainwashed with multicultural and degenerate propaganda like the locals .""",noHate
1915,b'I find this extremely interesting .',noHate
1916,b'Variety is always better than putting all your eggs in one basket .',noHate
1917,b'Shoot a pre merger Thompson Center Hawken 50 .',noHate
1918,b'While they are in prison the kikes should get the same food the regular prison population gets ...',hate
1919,b'If they ever accept that there are mental differences between the races they will be putting the first shovelful of dirt into the grave of multi-culturism .',noHate
1920,"b'If you happen to download this , feel free to add me to your Friends list and connect to me .'",noHate
1921,"b""Zuul88-My cousin 's an IE Peckerwood , and i 'm a good friends with another , I live over here in san bernardino , send me a pm ?""",noHate
1922,b'Real shocking ... i was realy upset afterwards',noHate
1923,"b""lookin for white friends online ! i 'm from mexico , and i would like to meet people interested in nordic black metal and the holocaust so we can send mails to each other. : attack""",noHate
1924,b'Reminds me of the time I got water thrown on me from the window of a flat as I walked past .',noHate
1925,"b""Have not done DNA testing , but looking at the family tree I can see that it 's mostly British with some Italian and Scandinavian thrown in for good measure .""",noHate
1926,b'We will just have to wait and see .',noHate
1927,b'Your sons are going to be in love with that land !',noHate
1928,b'You should have posted in Rants to see a mix of WN/Anti responses',noHate
1929,"b""i want to vote yes and at the same time i do n't.the way i look at it is either way we loose .""",noHate
1930,"b""I read an article on that awhile ago and it said that when Eisenhower went to Moscow he did n't even ask for american POWs to be released .""",noHate
1931,"b'Latha math dhuibh agus d\xc3\xa8 tha dol agad fh\xc3\xa8in , a Ph\xc3\xa0druig/Hello Pat , how are you ?'",noHate
1932,"b""Hiring someone from this website should ensure we do n't hire undesirables .""",hate
1933,b'I was trying to find out if the Egyptians were white or not and my search brought me to a thread on this site .',noHate
1934,b'How many are there ?',noHate
1935,b'Hail ISD !',noHate
1936,b'They neglect to mention that Jared also ran about 30 miles a day ...',noHate
1937,"b""I am 6 ' 0 around 160lbs 100 % Hungarian. anyone out there ???? 16""",noHate
1938,b'I thank that the only one that can tall you what to do is your self and no one els if you see this guy and like his pic. make sure he knows you are WP if you are or you like only White men. that is the way i see it .',noHate
1939,"b""I wonder how many young Whites pick up pro-WN ideas , but then after watching Romper Stomper or some old Springer episode see that negative image of WNs and decide thay they do n't want anything to do with us .""",noHate
1940,b'I got one during this last school year and I through it away .',noHate
1941,"b""But then I 'm half German and half German so I try to be accepting of other people with mixed backgrounds like myself .""",noHate
1942,"b""I 've found it to be a huge help in my survivalism/prepping work .""",noHate
1943,"b""I swear , you ca n't take us anywhere .....""",noHate
1944,b'(shrug) College campuses are the place where multiculti propaganda is laid on the thickest .',noHate
1945,b'( Simply copy and paste the following text into your YouTube videos description boxes. )',noHate
1946,b'Blacks and Muslims are the majority .',noHate
1947,b'PNR by collectivization of industry do you mean the folk who work in say a factory own it themselves or do you mean its owned by the state in the name of all the citizens .',noHate
1948,"b""I'm a cowboy , some what .""",noHate
1949,b'It makes my heart sick .',noHate
1950,"b""I do n't hate Asians , I respect Asians .""",noHate
1951,"b""Don't know if any of this is obsolete but it 's a start ...""",noHate
1952,b'In under 15 minutes the shooter is hitting the paper plate .',noHate
1953,b'And I only caught a few of the stories that were generated .',noHate
1954,"b""Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .""",noHate
1955,b'Wait there is going to be anti-white people in Euro 2012 ?',noHate
1956,b'You should have just put the money on the counter and walked out with your drink .',noHate
1957,b'I heard whites could purchase land off each other if they wanted to move into Orania .',noHate
1958,b'Japan NUCLEAR REACTOR - RADIOACTIVE STEAM ON VIDEO - 3/11/11 UPDATE 1pm CST -- NOT GOOD !',noHate
1959,b'Looking forward to it !',noHate
1960,b'The concept of carrying thousands of varmit rounds to enable spray and pray in battle is a post Korean War concept .',noHate
1961,b'Yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the UK .',hate
1962,"b""There is a sign up , placed by the council , stating `` No Ball Games '' , so what are they doing , yes playing football .""",noHate
1963,b'I wonder if many blacks or Asians have died in a similar circumstances .',noHate
1964,b'Or a classified section for employment or contract services .',noHate
1965,"b'I would like to finish this tree for posterity , so what about these terms ?'",noHate
1966,b'You are not out of the wigger stage .',noHate
1967,b'A very warm welcome to you from us all at SF Britain .',noHate
1968,"b'If anyone wants to watch sports , whether white or non-white , let them .'",noHate
1969,b'Such a shame that our government cares more about looking good in front the world then it does about the safty of its people .',noHate
1970,b'open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >',hate
1971,b'And then there is the pesticides on your fresh ( ? ) fruit and veggies .',noHate
1972,"b""I think its a bad thing to do and possibly harmful to the baby but I do n't think anyone besides the mother and the father of the baby should have a say so in if she quits or not .""",noHate
1973,"b'There is no water , food is overly expensive and the president gets away with corruption .'",noHate
1974,b'Male or female .',noHate
1975,"b""I 'd imagine trying to live there as a white nationalist would be extremely hard .""",noHate
1976,"b""I 'm a proud white male new to these forums .""",noHate
1977,b'Can someone tell Me when I can find any mp3 of CEBEPHIbE BPATA ?',noHate
1978,b'This is my next read .',noHate
1979,"b""It's people like this that are the face that represents the filth of Islam .""",hate
1980,"b""Just as there 's a place for Pakis called Pakistan and a place for Negro 's called Africa .""",hate
1981,b'We stopped and looked at each other like `` WTF ??!',noHate
1982,b'& #x202a ; The Vice Guide To Travel - Liberia - Part 1 & #x202c ; & rlm ; - YouTube',noHate
1983,"b'Yes and unfortunately the Mayans were eating it well over 1,500 years ago !'",noHate
1984,b'They are both cultural threats',hate
1985,"b""http://www.sfgate.com/cgi-bin/articl...BAJK19A7M6.DTL ``Based on the rate of improvement from 2003 to 2009 , it would take up to 105 years to close the white/Hispanic achievement gap and at least 189 years to close the white/black gap , which has failed to narrow by even a point in English since 2003 , according to scores released Tuesday . '' and `` Wealthier black students score well below their white and Asian counterparts , including those who are from low-income families . ''""",noHate
1986,b'Even stopped at a Mcdonalds and there was not one white person in there .',noHate
1987,"b""I was happy to see only whites in that movie , though there could 've been a few jews or half jews there but I would n't know .""",noHate
1988,"b""Many years ago maybe , there 's no ammo for them anyway , rather send a donation of a few thousand M4 's""",noHate
1989,b'No wonder Lord Of The Rings is so hated by our social engineers .',noHate
1990,"b""I'm back and I hope that Te\xc3\xa1rlach is too or at least that JJT brave enugh to tell me who did it .""",noHate
1991,"b""And some people say that the Klan is n't doing anything today to make a difference .""",noHate
1992,"b""`` Nargaroth - The Day Burzum Killed Mayhem '' heheh ) either though * shrug * Scandinavia really is a black metal heaven but there 're many great bands on the outside which too are a Pride of their countries 11""",noHate
1993,b'Though I might go to trade school to learn some basic carpentry skills .',noHate
1994,"b'Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .'",noHate
1995,"b'If we dont stop fighting over territory , we will have none left to ourselfes anyones .'",noHate
1996,b'https : //www.stormfront.org/forum/t111114 / https : //www.stormfront.org/forum/t108388 / https : //www.stormfront.org/forum/showthread.php ? t = 108610 https : //www.stormfront.org/forum/t108427 / Make this a great VValentines Day for our movement GOOD LUCK TO ALL WHO WILL BE PASSING OUT THE FLYRES http://www.whitefreespeech.com/sub/i...fleaflets.html',noHate
1997,"b""If you are a skinhead then by definition you must have your head shaved because if you do n't you 're not a skinhead .""",noHate
1998,b'Always a need to keep the military spear sharp .',noHate
1999,b'Who are you ? and how did you get your hands on it ? pm me or send a email please',noHate
2000,b'I can vouch for Blades and bows I have done business with them many times and customer service brilliant if you got a problem they will sort it .',noHate
2001,b'The reason they are killing themselves is because our weak liberal goverment are too afraid to make them do any sort of training ..',noHate
2002,"b'No when I was younger like 10 years old , I went to black school because my mom moved us into the ghetto because just gotten divorce from my dad .'",noHate
2003,b'https://scontent-a-ord.xx.fbcdn.net/hphotos-prn1/560008_10200593451827685_1725723611_n.jpg Antique photo of French motorized tricycles https : //scontent-b-ord.xx.fbcdn.net/hphotos-ash4/603341 _ 10200196698389097 _ 1099230950 _ n.jpg Man with elaborate motorized tricycle More photos : https : //www.facebook.com/isabelle.br ... 1025670 & type = 3',noHate
2004,"b""``Weall bleed red '' As do dogs , apes , snakes and rats red blood means nothing but lets compare brain size and accomplishments by race .""",noHate
2005,"b'www.wlu.edu Wheaton College , Wheaton , Ill.'",noHate
2006,b'Mr Irving played a fundamental role in my own journey through Holocaust revision and for that he will always have my gratitude .',noHate
2007,b'This is going to stir up a lot of yellow hatred for the hebrews .',noHate
2008,b'Good to know someone is paying attention m',noHate
2009,b'Thanks for coming',noHate
2010,"b""Has anybody pointed out that Finland is n't part of Scandinavia yet ? ( Hur gick det i Finnkampen , vet ni det ?""",noHate
2011,b'The times they are a changing .',noHate
2012,"b""Nordic is not someone 's heritage it 's a sub race category than one person 's heritage will be put into .""",noHate
2013,"b""you could easily describe democracy as the destruction of the whites. at least national socialism cared about it 's own people rather than others .""",noHate
2014,"b'I see a man with a somewhat Nordic nose and white , not dark , hair .'",noHate
2015,b'What happened is they left .',noHate
2016,b'Jewish Supremicism is at the end of its noose. : madex',hate
2017,b'-12oz',noHate
2018,b'So far you have not tried to post hardly anything but asking about your race type .',noHate
2019,"b'The moment I saw the hammer & sickle on the cover , I practically threw the game back onto the shelf and walked away .'",noHate
2020,"b""Here 's a list of some of the other derivitives : Skr . \xe0\xa4\xa7\xe0\xa5\x82\xe0\xa4\xae ( dh\xc5\xabma ) , Old Prussian dumis , Russ. \xd0\xb4\xd1\x8b\xd0\xbc ( dym ) , Lat. f\xc5\xabmus , Gm. toup/toben , Gk. \xce\xb8\xcf\x85\xce\xbc\xcf\x8c\xcf\x82 ( thumos ) , Toch. twe/tweye , Lith. d\xc5\xabmai , Ltv. d\xc5\xabmi , Eng. d\xc5\x8dmian/dusk , Goth. dauns , ON daunn , Ir. d\xc3\xa9/deathach , Welsh dywy , Oscan Mefit , Polish dym , Pers. / dud , OCS \xd0\xb4\xea\x99\x91\xd0\xbc\xd1\x8a ( dym\xc5\xad )""",noHate
2021,b'The woman may be attractive to another black .',noHate
2022,"b""Mexicans have plenty of open space in their countries to develop they do n't need ours .""",hate
2023,"b""My boyfriend needs to watch this video ... I 've gotten fed up before and told him to turn the damn thing off and put on some music , look at things on the internet , or go somewhere out of the house .""",noHate
2024,b'Good choice in the XD .',noHate
2025,"b""I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .""",hate
2026,b'Pity Nationalists in Britain are busy fighting each other as opposed to uniting and pushing the cause to a wider audience .',noHate
2027,"b""I need to rebuild mine as we moved again and the cage did n't turn out right when rebuilding it""",noHate
2028,b'Hopefully the traitors will be encircled in Westminster palace .',hate
2029,b'The gift that keeps giving .',noHate
2030,"b""He's a race traitor .""",hate
2031,"b'If they do that , they can do what they want in the privacy of their home .'",noHate
2032,"b""Nothing in it 's lyrics are .""",noHate
2033,"b""Does he know what `` infringed '' means ?""",noHate
2034,"b'Yeah, the map is not the territory .'",noHate
2035,"b""It's best to ignore individuals like that .""",noHate
2036,"b""They ca n't stand toe to toe with the white man so they just dance around until they 're tired .""",hate
2037,b'Very good I like this WE all play a role as part of the White nation .',noHate
2038,"b""If you 're a Christian anyway , use Christian Identity as your excuse .""",noHate
2039,b'I guess I would be destined for the gas chambers .',hate
2040,b'So Trudeau is sneaking them in like that ?',noHate
2041,b'No Jew has ever found a way to force a big black females to parrot Marxist propaganda the way that little dumb liberal anti-whites will .',hate
2042,"b'Jim Bollich , Bataan Death March Survivor 1 of 2 - YouTube'",noHate
2043,b'yea i thought so when i saw a episode they had a klanmen on there and he was calling jerry a * * * * ing jew lol',noHate
2044,b'Are there any whites left in that craphole or have they all been killed ?',hate
2045,b'So what are your thoughts and personal experiences with the whole new immigration system ??',noHate
2046,"b""Wouldn't you be embarrassed to wear on your head , against your will , a mock foreskin in the eyes of the world ?""",noHate
2047,b'--David Duke',noHate
2048,b'I do not let my children watch tv at all .',noHate
2049,b'It is as good as anywhere in the world ..',noHate
2050,b'I hear Icelandic and Mandarin are among the most difficult .',noHate
2051,b'Truth be told if they had a good White Nationalist on they would just crush the other networks .',noHate
2052,b'R1b is the most common haplotypes defining the Europeans',noHate
2053,"b'I hardly have any Slav in me , but my great great grandma was Serbian so I have a little Slavic in me .'",noHate
2054,b'That beheading is NOTHING compared to what we will see in the future .',noHate
2055,b'That is only when they began speaking English as a majority .',noHate
2056,"b""This is like `` wiggers '' .""",noHate
2057,"b""Anyone who has not visited the PLE-UK web site for some time is invited to return , as there 's a new introduction there on how `` The history of Britain is the history of those who held living space . ''""",noHate
2058,"b""Kinda proves they are n't the Herbrews of the Bible .""",noHate
2059,"b""BOOK : Tell the Truth and Shame the Devil `` Tell the Truth and Shame the Devil '' in English and German .""",noHate
2060,"b'However if you avoid larger fish such as Swordfish and Tuna , your chances of ingesting mercury are substantially reduced .'",noHate
2061,"b""https : //www.stormfront.org/forum/t994857 / It 's a lesson for children .""",noHate
2062,"b""In the local student rag 's dating section , there was a letter sent in by a black guy complaining about white girls at this university shunning him and his other negro friends .""",noHate
2063,"b""If you 'd like to talk just send me a message .""",noHate
2064,b'You can feel there like in 1944 .',noHate
2065,"b'Was walking through tooting broadway in SW London a couple of weeks ago .... was the only white dude around and all I could see was nigs and pakis walking down the street spitting , made me feel ill !'",hate
2066,"b""Not once in the Bible are Jesus or God 's people ever called a Jew .""",noHate
2067,"b'Cut out the chip and soda , candy and sweet drinks Spend 2hr s 3days a week in gym .'",noHate
2068,b'PS .',noHate
2069,b'Has anyone been back to this zoo lately ?',noHate
2070,"b""I live in a predominantly white area and ca n't imagine what that would be like ..""",noHate
2071,"b""I've seen on the web he is making a new horror film called `` it waits '' but cant find that much about it""",noHate
2072,"b""It wo n't be long until Jewish groups like ADL , SPLC , Simon Wiesenthal Center and Search light are applying big pressure to have these videos censored .""",noHate
2073,b'Just 5 bucks a month from every active member is all it takes .',noHate
2074,"b""He is the kind of anti-white , that will whine about ' anti-White racism ' , instead of just calling them ' anti-White ' .""",noHate
2075,b'Who are they ?',noHate
2076,b'This part of the film is right when US personnel came on the scene and stopped the attacks as best they could .',noHate
2077,b'Perhaps they realize people are waking up to the story and figure they should take their gains and quit while they are ahead .',noHate
2078,b'Where do you get that ?',noHate
2079,"b'And I also hope that thing like that is not gonna happen with our brothers from Belarus and Ukraine , who are also working illegaly on construction jobs .'",noHate
2080,b'Swissgirl is your teacher openly gay ?',noHate
2081,b'Just break up with him and never talk to him again !',noHate
2082,b'HI im looken to recrute and i dont know anything bout how to so I was wondering if anyboby can help me out .',noHate
2083,b'http://www.venetofronteskinheads.org...mmer_2008.html',noHate
2084,b'I heard that so many times that the KKK was huge here back in the day .',noHate
2085,"b""I'm too old ( 38 ) , but I live in Tucson .""",noHate
2086,b'Most of the info on this site is out of date but it has some interesting information on the groups/orgs that have come and gone over the years .',noHate
2087,"b""Actually TV can be used wisely by watching some history , discovery , tlc and other stations like that.Of course all sitcoms are wolves dressed in sheeps clothing.By that I mean jewish propaganda masqueraded as `` reality '' , lololo .""",noHate
2088,"b""All you need is to cut off it 's head and the rest of the problems will crumble away with ease""",hate
2089,b'This is a special thanks to all those who had the patience to wait it out while I constructed this article .',noHate
2090,b'Its also worth noting that the days of the week in English are very strongly influenced by Viking occupation of the British Isles .',noHate
2091,b'I would love to see a video of Somalis blown apart with a torpedo and see bodies and scrap metal fly hundreds of feet into the air .',hate
2092,b'Blacks built the Pyramids and the White House .',noHate
2093,b'she is a snake in the grass do not accept the poisonous advice this snake has to offer .',noHate
2094,"b""Of course , they are more virile than us , so that would n't happen would it ?!!!""",hate
2095,"b'10.24.2010 MONTEREY PARK , Calif. ( KABC ) -- Deputies have arrested a suspect in connection with a double murder of a couple in Hawthorne .'",noHate
2096,"b'Mithotyn yea maybe in Germany and other Western European countries nazis are banned from everywhere , but in Bulgaria u can live , * * * * gypsies and some * * * * * * s/not much = 15-20 ppl in my town / u can dress like skin and beat punks/not much 15-20 guys / and ..... just u can do everything but if u live here u will not have money ( hehe i will cut some of my fingers if someone american come to live in Bulgaria ...'",noHate
2097,"b""Playing lightly on or over a surface ; flickering ; as , `` a lambent flame ; lambent shadows . '' 2 .""",noHate
2098,"b'Probably from the two minimum wage part time jobs ........ Oh wait , whites need not apply .'",noHate
2099,b'Thank you so much !',noHate
2100,"b'Because they are essentially child-like and until someone steps up and says something they will just carry on , again like children .'",hate
2101,b'I think the UK is more of a lost cause than the US. london has made tons of concessions to non whites .',hate
2102,b'Your all-white nation is a fraud .',noHate
2103,"b'Not free , but great for programming , business , and design learning , Lynda.com.'",noHate
2104,"b""If there 's nothing to hide why ban it""",noHate
2105,b'Welcome to reality !',noHate
2106,b'* Le me searching le webs for info about le ongoing crisis in this thread .',noHate
2107,b'Imagine if I got 100 percent negro .',noHate
2108,"b""`` Defend our Boarders . '' 3 .""",noHate
2109,b'http://www.nogw.com/download/ _ 07 _ il _ kidnap _ aussie.pdf',noHate
2110,b'It would be nice to see Negro leaders like that take charge and lead their people home .',noHate
2111,b'My good friend and neighbor carries his like that too .',noHate
2112,"b""My mom 's people are originally from down your way in Wise Co. , and also in Tazewell and Russell .""",noHate
2113,b'Also my college did not allow jews or homosexuals .',noHate
2114,b'I also like Renoir .',noHate
2115,"b'Sharpless 249 and the Jellyfish Nebula Image Credit & Copyright : C\xc3\xa9sar Blanco Gonz\xc3\xa1lez Explanation : Normally faint and elusive , the Jellyfish Nebula is caught in this alluring telescopic mosaic .'",noHate
2116,"b'There is nothing I would love to see more than the arrest , trial and execution of these murderous and genocidal Zionists !'",hate
2117,b'I heard from friends in Boston this is true.Blacks will attack an Irish America with a shamrock tattoo.How long before this happens in Ireland ?',hate
2118,"b""It was ' National Song and Dance Festival ' in Estonia today and yesterday .""",noHate
2119,b'Disgusting !',noHate
2120,b'An good education is allot but not everything .',noHate
2121,b'My children like whites I have no problem with this question But how we can spread your articles out of ours sites because we already know',noHate
2122,b'Thank you .',noHate
2123,"b'I watched sports and universities go black and stayed away from the both since , It s been 30 years since I have seen a football game that was outside my son s high school .'",noHate
2124,b'LA traffic to cause riots during 2 day construction shutdown of 405 fwy .',noHate
2125,b'The soldiers of today may face this same treatment before they die if things keep going the way it has been .',noHate
2126,"b'If you plan to work a particular mall in the Houston area , please PM me , so we can coordinate , and cover more area .'",noHate
2127,b'You also need to avoid anything Soya .',noHate
2128,b'i joined this site just a few hours ago but ive been visiting for a while before hand .. very interesting topics things you just dont see in mainstream anymore .. actualy what the hell am i saying never ever seen in main stream EVER ... its a damn shame ...',noHate
2129,"b""I'm an adult in my late 30s .""",noHate
2130,"b""What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .""",noHate
2131,"b""I've taken to call myself either `` European '' , `` half-Irish '' , or `` Irish-American '' .""",noHate
2132,"b'If your kids is interested in anime , by all means BE CAREFUL at the video store .'",noHate
2133,b'It has been reported for a hour now that weapons have fallen into the hands of the opposition in Ternopil and Lviv after seizing of government installations .',noHate
2134,b'White pride worldwide ! 3033',noHate
2135,b'As a white nationalist I personally would not pay to watch the likes of that drug addict Amy Winehouse or scum like Rage Against The Machine .',noHate
2136,b'Once when I was a kid and a couple itmes in fights',noHate
